S No,C1,C2
1706,Achievement,Achievement
1707,Congratulation,Congratulation
1708,Achievement,Achievement
1709,Generic,Generic
1710,Appeal,Appeal
1711,Generic,Generic
1712,Generic,Generic
1713,Generic,Generic
1714,Update,Update
1715,Generic,Update
1716,Update,Update
1717,Update,Update
1718,Update,Tribute
1719,Achievement,Achievement
1720,Political Confrontations,Political Confrontations
1721,Update,Generic
1722,Update,Generic
1723,Update,Generic
1724,Condolence,Condolence
1725,Greetings,Greetings
1726,Achievement,Congratulation
1727,Political Confrontations,Political Confrontations
1728,Political Confrontations,Political Confrontations
1729,Generic,Generic
1730,Update,Update
1731,Update,Update
1732,Endorsement,Gratitude
1733,Update,Update
1734,Endorsement,Achievement
1735,Political Confrontations,Political Confrontations
1736,Update,Endorsement
1737,Update,Update
1738,Update,Update
1739,Tribute,Condolence
1740,Endorsement,Achievement
1741,Achievement,Achievement
1742,Endorsement,Achievement
1743,Update,Update
1744,Endorsement,Update
1745,Endorsement,Update
1746,Generic,Update
1747,Generic,Generic
1748,Generic,Generic
1749,Appeal,Appeal
1750,Generic,Address
1751,Greetings,Greetings
1752,Appeal,Appeal
1753,Update,Update
1754,Achievement,Generic
1755,Endorsement,Update
1756,Generic,Update
1757,Appeal,Appeal
1758,Congratulation,Congratulation
1759,Achievement,Achievement
1760,Achievement,Achievement
1761,Generic,Generic
1762,Generic,Generic
1763,Greetings,Greetings
1764,Generic,Generic
1765,Generic,Generic
1766,Update,Update
1767,Greetings,Greetings
1768,Tribute,Tribute
1769,Generic,Generic
1770,Generic,Address
1771,Generic,Generic
1772,Update,Update
1773,Generic,Generic
1774,Achievement,Achievement
1775,Political Confrontations,Update
1776,Generic,Generic
1777,Generic,Update
1778,Update,Update
1779,Address,Update
1780,Address,Address
1781,Address,Address
1782,Greetings,Greetings
1783,Update,Congratulation
1784,Congratulation,Congratulation
1785,Greetings,Greetings
1786,Update,Update
1787,Generic,Generic
1788,Congratulation,Congratulation
1789,Generic,Update
1790,Appeal,Appeal
1791,Appeal,Appeal
1792,Generic,Generic
1793,Greetings,Greetings
1794,Tribute,Tribute
1795,Appeal,Update
1796,Greetings,Greetings
1797,Update,Generic
1798,Update,Update
1799,Appeal,Address
1800,Generic,Generic
1801,Political Confrontations,Political Confrontations
1802,Update,Update
1803,Appeal,Appeal
1804,Condolence,Condolence
1805,Condolence,Condolence
1806,Update,Update
1807,Greetings,Greetings
1808,Generic,Appeal
1809,Generic,Generic
1810,Update,Update
1811,Generic,Update
1812,Political Confrontations,Political Confrontations
1813,Generic,Address
1814,Update,Generic
1815,Generic,Update
1816,Update,Generic
1817,Update,Generic
1818,Update,Update
1819,Achievement,Achievement
1820,Congratulation,Congratulation
1821,Update,Update
1822,Tribute,Tribute
1823,Greetings,Greetings
1824,Update,Update
1825,Achievement,Achievement
1826,Achievement,Achievement
1827,Tribute,Tribute
1828,Achievement,Endorsement
1829,Address,Endorsement
1830,Address,Update
1831,Greetings,Greetings
1832,Generic,Generic
1833,Generic,Generic
1834,Tribute,Tribute
1835,Tribute,Tribute
1836,Generic,Update
1837,Generic,Congratulation
1838,Achievement,Generic
1839,Endorsement,Achievement
1840,Greetings,Greetings
1841,Endorsement,Achievement
1842,Appeal,Appeal
1843,Endorsement,Achievement
1844,Endorsement,Update
1845,Endorsement,Update
1846,Update,Update
1847,Tribute,Greetings
1848,Endorsement,Achievement
1849,Address,Address
1850,Generic,Generic
1851,Update,Update
1852,Generic,Update
1853,Update,Update
1854,Endorsement,Update
1855,Update,Update
1856,Update,Update
1857,Generic,Generic
1858,Update,Update
1859,Update,Update
1860,Greetings,Greetings
1861,Update,Address
1862,Achievement,Achievement
1863,Update,Generic
1864,Update,Achievement
1865,Endorsement,Achievement
1866,Generic,Achievement
1867,Generic,Generic
1868,Update,Update
1869,Congratulation,Congratulation
1870,Greetings,Greetings
1871,Generic,Achievement
1872,Achievement,Achievement
1873,Update,Update
1874,Generic,Generic
1875,Update,Address
1876,Generic,Achievement
1877,Endorsement,Achievement
1878,Congratulation,Congratulation
